
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Only extract entities that are in the text. Follow the annotation rules.
        
        Annotation rules:

        • Don’t tag exhaustively, but only the first 5 mentions (e.g. a particular place, or a particular method) of any given concept in those sections that should be searched 
        • Restrict search to particular sections: Don’t use TOC, no prefaces. Focus on the main sections (introduction/method/conclusion). Avoid using sections literature review, background, results, or TOC or literature list
        • If several different concepts are mentioned in a sentence, annotate them separately
        • inGroup: should be specific for the research design
        • Subject: Leave out subjects unless there is explicitly a conceptual model (key-concepts)
        • Spatial: the largest extent of the research area related to a goal/question. Any spatial level that links to a different research goal can appear separately. In case there is no placename available for this, encode the information on most specific level that is there (“plein in Amersfoort”).
        
        Examples:

        Example 1 

GEOGRAFISCH O
INSTITUUT O
RIJKSUNIVERSITEIT O
UTRECHT O
HET B-title
GROENE I-title
HART I-title
VAN I-title
BINNEN I-title
NAAR I-title
BUITEN I-title
Stemmer B-title
< I-title
. I-title
. I-title
it I-title
het I-title
1 I-title
groen I-title
“ I-title
, I-title
een I-title
onderz I-title
■ I-title
« I-title
k I-title
naar I-title
de I-title
visie I-title
va I-title
; I-title
de I-title
■ I-title
yrootste I-title
gemeenten I-title
in I-title
het I-title
middengebied I-title
van I-title
de I-title
Randstad I-title
op I-title
de I-title
ruimtelijke I-title
ordening I-title
ervan I-title
ing I-title
. I-title

M B-author
van I-author
Noordenne I-author
582 O
) O
vakgroep O
tcegepaste O
geografie O
en O
ruimtelijke O
planning O
VERSLAGEN O
VAN O
LEERONDERZOEK O
G O
& O
P O
itorium O
II O
, O
HeiJUbergiaan O
2 O
, O
De O
Uithof O
, O
UTRECHT O
( O
030 O
) O
532044 O
HET B-title
GROENE I-title
HART I-title
VAN I-title
BINNEN I-title
NAAR I-title
BUITEN I-title
Stemmen B-title
uit I-title
het I-title
' I-title
groen I-title
' I-title
, I-title
een I-title
onderzoek I-title
naar I-title
de I-title
visie I-title
van I-title
de I-title
grootste I-title
gemeenten I-title
in I-title
het I-title
middengebied I-title
van I-title
de I-title
Randstad I-title
op I-title
de I-title
ruimtelijke I-title
ordening I-title
ervan I-title
Verslag O
van O
leeronderzoek O
van O
ing O
. O

M B-author
. I-author
van I-author
