
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Do not extract anything that is not in the text.

        Examples:

        Example 1 

WINKELEN B-title
OP I-title
DE I-title
UITHOF I-title
! I-title

FICTIE B-title
OF I-title
WERKELIJKHEID I-title
? I-title

Dagmarkt O
in O
fietsenkelder O
De O
voedingsdivisie O
van O
Ven O
- O
dex O
heeft O
serieuze O
belangstel O
- O
ling O
voor O
vestiging O
van O
een O
dagmarkt O
in O
de O
fietsenkelder O
van O
Centrumgebouw O
Zuid O
. O

De O
winkel O
, O
met O
een O
geplande O
op O
- O
pervlakte O
van O
360 O
vierkante O
meter O
, O
zal O
een O
assortiment O
gaan O
voeren O
dat O
specifiek O
is O
toegesneden O
op O
de O
behoeften O
van O
personeel O
en O
studenten O
; O
j O
over O
— O
— O
vtöugnig O
z O
. O

< O
n O
< O
riii O
< O
iiigcii O
van O
het O
_ O
_ O
T O
T O
< O
CVl O
resultaat O
van O
een O
enquête O
on O
- O
TjP O
der O
studenten O
en O
medewerkers O
U O
v O
van O
universiteit O
en O
academisch O
baar O
gemaakt O
, O
maat O
_ O
ziekenhuis O
. O

Op O
basis O
van O
deze O
was O
volBe O
^ O
elCjng1 O
enquête O
zal O
Vendex O
een O
om O
- O
van O
uend O
hoog6 O
< O
zetprognose O
maken O
die O
moet O
dVenquête O
zijn O
g O
aantonen O
of O
een O
‘ O
supermarkt O
in O
' O
Ite O
1 O
De O
Uithof O
levensvatbaar O
is O
. O

Bij O
. O

" O
r O
^ O
meters O
■ O
_ O
Vendex O
vraagt O
toestemming O
’ O
sSS O
£ O
l O
— O
supermarkt O
m O
De O
directie O
van O
V O
® O
ndeoXrhdeee O
^ O
0 O
^ O
y O
' O
^ O
eeTsuJermarkt O
in O
de O
aanvraag O
ingediend O
voo O
aanvraag O
is O
fietsenkelder O
van O
Centrumge O
in O
de O
nodig O
omdat O
het O
bestemmingsplan O
voor O
De O
U O
vestiging O
van O
winkels O
vóórziet O
. O

Ondanks O
de O
nu O
in O
^ O
dienkde O
aanvraag O
is O
het O
nog5 O
niet O
tzeker O
dat O
de O
supermarkt O
er O
ookecnt O
komt O
De O
directie O
van O
Ven O
- O
dex O
bestudeert O
op O
dit O
moment O
de O
resultaten O
van O
een O
enquetc O
enquête O
zal O
Vendex O
een O
om O
- O
n O
die O
dit O
voorjaar O
is O
gehouden O
naar O
de O
behoefte O
van O
Uithof O
- O
bewoners O
aan O
winkelvoor O
- O
zieningen O
in O
het O
universiteits O
- O
gebied O
. O

De O
gegevens O
zijn O
niet O
open O
- O
een O
winkel O
met O
e O
< O
pakket O
in O
de O
I O
levensvatbaar O
is O
. O

De O
directie O
van O
Vendex O
zal O
in O
de O
maand O
juli O
een O
besluit O
ne O
- O
men O
over O
de O
vestiging O
, O
die O
vierhonderd O
vierkante O
meter O
zal O
gaan O
beslaan O
en O
waarvan O
de O
ingang O
zal O
komen O
aan O
de O
n O
t O
- O
die O
- O
r O
parkeermeters O
. O
- O
parkeerders O
. O

Een O
plan O
in O
ligt O
bij O
de O
gemeente O
om O
— O
" O
> O
ie O
heeft O
nu O
echter O
geen O
geld O
om O
het O
uit O
te O
voeren O
. O

parke O
richting O
Utrecht-Dj O
® O
( O
EH O
) O
Eefke B-author
Langendonk I-author
Doctoraalscriptie O
Economische O
Geografie O
Universiteit O
Utrecht O
Juli B-issued
1993 I-issued
VOORWOORD O
Het O
voor O
u O
liggende O
rapport O
is O
het O
resultaat O
van O
mijn O
afstudeeronderzoek O
ten O
behoeve O
van O
de O
studie O
Economische O
Geografie O
. O

Het O
betreft O
een O
onderzoek O
naar O
de O
haalbaarheid O
van O
een O
supermarktvesti O
- O
ging O
op O
het O
Universiteitscomplex O
’ O
De B-spatial
Uithof I-spatial
te O
Utrecht B-spatial
. I-spatial

Het O
onderzoek O
is O
uitgevoerd O
in O
opdracht O
van O
de O
afdeling O
Huisvesting O
van O
de O
Universiteit B-spatial
Utrecht I-spatial
. O

Naast O
de O
Universiteit O
heeft O
de O
Vendex O
Food O
Groep O
in O
dit O
onderzoek O
geparticipeerd O
. O

Mijn O
dank O
gaat O
uit O
naar O
allen O
die O
mij O
bij O
dit O
onderzoek O
behulpzaam O
zijn O
geweest O
. O

In O
de O
eerste O
plaats O
wil O
ik O
mijn O
scriptie-begeleider O
dhr O
. O

J O
. O

Borchert O
bedanken O
voor O
zijn O
begeleiding O
. O

Daarnaast O
wil O
ik O
dhr O
. O

G O
. O

Kramps O
en O
mevr O
. O

P O
. O
de O
Groot O
van O
de O
Vendex O
Food O
Groep O
en O
dhr O
. O

H O
. O

Camstra O
van O
de O
afdeling O
Huisvesting O
Universiteit O
Utrecht O
, O
