title,author,issued,spatial,subject,Thesis_File,inGroup
"('ONTWIKKELINGEN IN DE INDUSTRIËLE STRUCTUUR VAN ZUID-WEST-NEDERLAND 1945 - 1970', 'een sociaal-geografische verkenning', 'ONTWIKKELINGEN IN DE INDUSTRIËLE STRUCTUUR VAN ZUID - WEST - NEDERLAND 1945 - 19 7 0', 'een sociaal-geografische verkenning')","('Abc ouwe r', 'F * Abcouwer')","('februari 1971', 'februari 1971')","('Rijnmond', 'Rijnmond', 'Rijnmond', 'Rijnmond', 'Rijnmond', 'Rijnmond-Zuid-West Nederland', 'Rijnmond', 'Zuid-West Nederland', 'Rijnmond', 'Rijnmond', 'Rotterdam ( Rijnmond )', 'Zuidelijke Randstad')","('industrie', 'Industriële Geografie', 'industriële bedrijf', 'industriële structuur', 'Industriële structuur', 'industriële structuren', 'BASISINDUSTRIE', 'CYCLETHEORY', 'GROEIINDUSTRIE', 'GROEIPOOL', 'HERSTRUCTURERING', 'INDUSTRIALISATIE', 'INDUSTRIEEL COMPLEX', 'INDUSTRIEEL KLIMAAT', 'INDUSTRIEEL MILIEU', 'PEAKINDUSTRY', 'ONTWIKKELINCtS AS', 'SLEUTELINDUSTRIE', 'SPEERPUNT INDUSTRIE')",1971_Abcouwer_NF_Ontwikkelingen_in_de_industriele_structuur_van_zuid-west-Nederland_1945-1970.conll,
"('migratie : een verbetering ?', 'VERSLAG VAN EEN HUISHOUDENSENQUETE', 'MIGRATIE : EEN VERBETERING ?')","('jan jaap harts', 'Jan Jaap Harts')","('1974',)","('het Middengebied Randstad', 'Middengebied Randstad', 'middengebied', 'Middengebied Randstad')","('Middengebied Randstad', 'Groene Hartprojekt', 'Middengebied Randstad', 'Groene Hartprojekt', 'Middengebied Randstad', 'Het suburbaniseringsproces in verband met de werkgelegenheid , het voorzieningennivo , de woningbouw en de afstand tot de stedenring .', 'andere processen als werkgelegenheids - en bouwprocesontwikkeling duidelijk maken')",1974_Harts_Jan_Migratie.conll,"('voor de huishoudens die in het middengebied werden aangetroffen bleek', 'nieuwbouwwijken of delen van nieuwbouwwijken die na 1 januari 1960 zijn opgeleverd', 'de hoofdbewoners die in deze nieuwbouwwijken werden aange - troffen', 'huishoudens in de nieuwbouwwijken van het zuidelijk deel van het enquêtegebied')"
"('De Markeverdelingen in Zuidoost-Salland',)","('Scholten',)","('1974',)","('Oost-nederland', 'luid-l.Hand', 'Hellendoorn', 'Duttenberg', ""1 ' Toetsele"", 'Daarle', 'Zuid-Salland', 'Zuid-Salland', 'Zuid-Salland', 'Zuid-Salland', 'Zuid-Salland', 'Luttenborg', 'Hellen - doorn', 'IToetsele', 'Daarle', 'Luttenborg', 'Ilellendoornso', 'IToetselor Derg', 'Daarle', 'Scharlonbelt', 'Hollendoorn')","('morfologische en boderalcundigo structuur', 'mark Luttehberg', 'marlc Luttenborg', 'Iloetsele', 'mark Hoetselp', 'D A A R L E', 'nark Daarle', 'marl : Daarlo', 'mark Lutten - berg', 'mark Ilellendoorn', 'mark Daarlo', 'mark Daarlo', 'mark Ilootsele', 'mark Hel - lendoorn', 'mark Ilollcndoorn', 'IToetselo', 'Daarle', 'mark Hellendoorn', 'mark Hollendoorn')",1974_Scholten_FWJ_De_Markeverdeling_in_Zuidoost-Salland.conll,
"('De invloed van persoonskenmerken op verschillende vormen van gebruik van een binnenstad', 'De invloed van persoonskenmerken op verschillende vormen van gebruik van een binnenstad .')","('M.J', 'Boskamp', 'M.J .', 'Boskamp')","('1976',)","('Amersfoortse', 'Amersfoort', 'Amersfoort', 'Amersfoort', 'Amersfoort', 'Amersfoort', 'Amersfoort', 'Hoevelaken', 'Leus - den', 'Soest', 'Eemnes', 'Bunschoten', 'Nijkerk')","('het gebruik van een binnenstad', 'het gebruik van de binnenstad', 'gebruik van een binnenstad', 'het gebruik van de binnenstad', 'persoonskenmerken', 'persoonskenmerken', 'kenmerken van de binnenstad', 'persoonskenmerken', 'gebruik van de binnenstad', 'gebruik van de binnen - stad', 'gebruik van de binnenstad')",1976_Boskamp_MJ_De_invloed_van_persoonskenmerken_op_verschillende_vormen_van_ruimtegebruik_in_de_binnenstad.conll,"('konsument', 'konsument', 'konsument', 'konsument', 'konsument', 'ondervraagde huishoudens', 'huishoudens', 'huishoudens')"
"('HET WOONGEDRAG IN DE WIJK JUTPHA / xS-WIJKERSLOOT - GEMEENTE NIEUWEGEIN',)","('Rolf v', 'Acquoy', 'Wil Anker', 'Dorothé Bloks', 'Frank Gubbels', 'Rolf Hunink', 'Joep Jilesen', 'Oda v.d .', 'Kemp', 'Dick Korenhof', 'Wim v.d .', 'Maas', 'Roel de Mink', 'Jan Mulder', 'Lody Smeets', 'Ben Steur', 'Monica Thung', 'Saskia Vleer')","('juni , 1979',)","('Jutphaas - Wijkersloot', 'Jutphaas-Wijkersloot', 'Jutphaas-Wijkersloot', 'Jutphaas-Wijkersloot')","('woningtypen', 'woonomgeving', 'sociaal-economische', 'woonomgeving', 'woonom - geving', 'woonomgeving', 'iwoonomgeving', 'woonomgeving', 'demografische', 'sociaal-economische positie', 'verhuisgedrag', 'sociaal - economische status', 'woningtype', 'woonomgeving', 'woningtype', 'woningtype', 'woonomgeving', 'woningtype', 'woonomgeving', 'woonomgeving', 'woningtype', 'verhuisgedrag', 'verhuisgedrag', 'verhuisgedrag', 'sociaal-ekonomische', 'demografische', 'woon - omgeving .', 'sociaal-ekonomi - sche')",1979_Anker_Wil_Het_woongedrag_in_de_wijk_Jutphaas-Wijkersloot.conll,"('huishoudens', 'alle huishoudens die op 31 - 12 - 1977 in Jutphaas-Wijkersloot woonachtig zijn', 'huishoudens', 'huishoudens', 'huishoudens', 'personen die meer informatie over het beleid t.a.v . de wijk Jutphaas-Wijkersloot kunnen verschaffen', 'sleutelinformant', 'informant', 'informanten', 'informanten', 'Sleutelinformanten')"
"('een onderzoek naar de koopgerichtheid van huishoudens in nieuwegein', 'GROEIKERN OOK KOOPKERN ?', 'een onderzoek naar de koopgerichtheid van huishoudens in Nieuwegein')","('Henk Baten', 'Henk Baten')","('1982', 'vakgroep sociale geografie zl-L van de stedelijk-industriële landen', 'juni 1982')","('Nieuwegein', 'Nieuwegein', 'Nieuwegein', 'Nieuwegein', 'Nieuwegein', 'de negen woonwijken van Nieuwegein')","('ruimtelijk koopgedrag', 'ruimtelijk koopgedrag', 'winkelvoor - zieningen', 'ruimtelijk koopgedrag', 'ruimtelijk koopgedrag', 'ruimtelijk ( koop - ) gedrag', 'ruimtelijk koopgedrag', 'ruimtelijk koopgedrag', 'koopgerichtheid', 'prefe - renties tructuur', 'koopgerichtheid', 'koopgerichtheid .', 'koopgerichtheid .', 'preferentie - structuur', 'koopgerichtheid', 'ruimtelijk koopgedrag', 'distributieve voorzieningen', 'preferentiestructuur', 'preferen - tiestructuur', 'koopgerichtheid', 'winkelvoorzieningen', 'winkelvoorzieningen', 'winkelvoorzieningen', 'winkelvoorzieningen', 'winkelvoorzieningen', 'winkelvoorzieningen', 'distributieve voorzieningen')",1982_Baten_Henk_Groeikern_ook_koopkern.conll,"('Nieuwegeinse huishoudens', 'Nieuwegeinse huishoudens', 'Nieuwegeinse huishoudens', 'Nieuwegeinse huishoudens', 'NIEUWEGEINSE HUISHOUDENS')"
"('REGIONALE VERSCHILLEN IN MEDISCHE CONSUMPTIE een sociaal-geografisehe studie',)","('VAN ELZAKKER', 'Ad van Elzakker')","('september 1984',)","('Nederland', 'Nederlandse verzorgingsstaat', 'Nederlandse verzorgingsstaat', 'Nederlandse gezondheidszorgapparaat')","('medische konsumptie', 'medische konsumptie', 'medische konsumptie', 'verzorgingsstaat', 'medische konsumptie', 'medische konsumptie')",1984_Elzakker_van_Ad_Regionale_verschillen_in_medische_konsumptie.conll,"('ziekenhuisinstellingen',)"
,"('Wïlly Dwarkasing',)","('1985',)","('Curacao', 'Curacao', 'Nederlandse Antillen', 'Nederlandse Antillen', 'Curacao', 'Curacao', 'Curacao', 'Nederlandse Antillen', 'Willemstad')",,1985_Dwarkasing_Willy_De_Shell_Raffinaderij_op_Curacao.conll,"('Shell-raffinaderij', 'raffinaderij', 'raffinaderijen', 'olie-rafinaderijen', 'Shell')"
"('INNOVATIEBEVORDERING IN BADEN-WUERTTEMBERG Op zoek naar een verklaring voor een economisch succes', 'INNOVATIEBEVORDERING IN BADEN-WUERTTEMBERG Op zoek naar een verklaring voor een economisch succes')","('Robert Hassink Vianen',)","('augustus 1988',)","('Baden-Wurttemberg', 'Baden-Wurttemberg', 'deelstaat Baden-Wurttemberg', 'Baden-Wurttemberg')","('zelforganiserend ver - mogen van de regio met benutting van eigen potenties', 'organisatorische structuren', 'werking van regionale netwerken', 'economisch profiel', 'praktijk van de innovatiebevordering', 'regionale techno - logiebevordering in Bad en-Wu r ttemberg')",1988_Robert_Hassink_Innovatiebevordering_In_Baden_wuerttemberg.conll,
"('RANDSTAD EN TCLECOTWICATIE', 'Randstad en telecom - municatie')","('Jeroen de Roos', 'Jeroen de Roos')","('20 april 1988', '20 april 1988')","('gemeenten Amsterdam , Den Haag en Rotterdam , bij de provincie Utrecht', 'PTT-T distrikten Amsterdam , Den Haag , Rotterdam en Utrecht', 'de vier grote Randstad—steden', 'de gemeenten Amsterdam , Den Haag , Rotter - dam en Utrecht', 'Randstad', 'Nederland', 'Randstad', 'Randstad', 'Nederland', 'Randstad')","('Telecommunicatie', 'Telecommunicatie en daarvan afgeleide zaken als telematica')",1988_Roos_de_Jeroen_Randstad_en_telecommunicatie.conll,
