thesisID,file_name
1,1971_Abcouwer_NF_Ontwikkelingen_in_de_industriele_structuur_van_zuid-west-Nederland_1945-1970
2,1973_Harts_Jan_Migratie
3,1974_Scholten_FWJ_De_Markeverdeling_in_Zuidoost-Salland
4,1976_Boskamp_MJ_De_invloed_van_persoonskenmerken
5,1979_Anker_Wil_Het_woongedrag_in_de_wijk_Jutphaas-Wijkersloot
6,1982_Baten_Henk_Groeikern_ook_koopkern
7,1984_Elzakker_van_Ad_Regionale_verschillen_in_medische_konsumptie
8,1985_Dwarkasing_Willy_De_Shell_Raffinaderij_op_Curacao
9,1988_Robert_Hassink_Innovatiebevordering_In_Baden_wuerttemberg
10,1988_Roos_de_Jeroen_Randstad_en_telecommunicatie
11,1988_Studulski_Frank_Vergrijzen_in_de_grote_stad
12,1989_Noordenne_van_M_Het_Groene_Hart_van_binnen_en_naar_buiten
13,1993_Beijnum_van_Paul_De_zone_16_julio_na_het_Ham_Birf_project
14,1993_Langendonk_Eefke_Winkelen_op_de_Uithof
15,1994_Hensels_Emmy_De_stadsregionale_bedrijventerreinenmarkt_en_herstructurering
16,1994_Kermis_Jan_Hongarije_land_van_twee_snelheden
17,1994_Slabbertje_Martin_Het_PPP-project
18,1995_Ypma_Klaske_W_De_Regio_Stedendriehoek
19,2007_Beer_de_Frank_Angstgevoelens_tijdens_het_uitgaan
20,2007_Jong_de_Stefan_Een_onderzoek_naar_e-commerce_succes_in_de_binnenstad
